date,active_users,total_users,sleep_logs,insights_viewed,coach_messages,plans_completed,avg_sleep_duration,avg_sleep_quality,avg_stress,dau_rate,sleep_log_completion_rate,insight_view_rate,coach_plan_completion_rate
2026-01-01,159,250,116,76,56,20,7.02804,45.28,4.977600000000001,0.636,0.7295597484276729,0.4779874213836478,0.35714285714285715
2026-01-02,162,250,120,77,47,22,6.99864,45.62,4.8748000000000005,0.648,0.7407407407407407,0.47530864197530864,0.46808510638297873
2026-01-03,163,250,119,61,44,25,7.34732,48.568,4.6916,0.652,0.7300613496932515,0.37423312883435583,0.5681818181818182
2026-01-04,171,250,113,80,50,29,7.3473999999999995,47.14,4.8172,0.684,0.6608187134502924,0.4678362573099415,0.58
2026-01-05,180,250,138,86,55,30,6.943359999999999,46.304,4.7328,0.72,0.7666666666666667,0.4777777777777778,0.5454545454545454
2026-01-06,163,250,123,69,42,20,6.974279999999999,45.656,4.8692,0.652,0.754601226993865,0.4233128834355828,0.47619047619047616
2026-01-07,155,250,113,77,57,38,6.98972,46.248,4.9124,0.62,0.7290322580645161,0.4967741935483871,0.6666666666666666
2026-01-08,165,250,126,78,45,24,7.05152,46.5,4.624,0.66,0.7636363636363637,0.4727272727272727,0.5333333333333333
2026-01-09,162,250,115,79,52,30,7.00812,46.82,4.6952,0.648,0.7098765432098766,0.4876543209876543,0.5769230769230769
2026-01-10,168,250,123,65,45,23,7.282640000000001,47.556,4.9232,0.672,0.7321428571428571,0.3869047619047619,0.5111111111111111
2026-01-11,160,250,115,72,43,22,7.3400799999999995,48.304,4.8671999999999995,0.64,0.71875,0.45,0.5116279069767442
2026-01-12,166,250,122,76,43,26,7.03044,47.556,4.7623999999999995,0.664,0.7349397590361446,0.4578313253012048,0.6046511627906976
2026-01-13,171,250,118,80,47,26,6.9403999999999995,45.82,4.8552,0.684,0.6900584795321637,0.4678362573099415,0.5531914893617021
2026-01-14,159,250,108,79,51,30,6.99008,45.748,4.8732,0.636,0.6792452830188679,0.4968553459119497,0.5882352941176471
2026-01-15,172,250,138,78,47,27,7.01408,45.76,4.8788,0.688,0.8023255813953488,0.45348837209302323,0.574468085106383
2026-01-16,168,250,124,74,40,24,7.0346,46.168,4.7044,0.672,0.7380952380952381,0.44047619047619047,0.6
2026-01-17,157,250,129,77,48,26,7.2881599999999995,48.092,4.756399999999999,0.628,0.821656050955414,0.49044585987261147,0.5416666666666666
2026-01-18,167,250,127,74,50,28,7.3982399999999995,48.732,4.8344,0.668,0.7604790419161677,0.4431137724550898,0.56
2026-01-19,171,250,136,81,54,31,7.04432,46.496,4.7968,0.684,0.7953216374269005,0.47368421052631576,0.5740740740740741
2026-01-20,163,250,127,64,42,23,6.977399999999999,45.492,4.8288,0.652,0.7791411042944786,0.39263803680981596,0.5476190476190477
2026-01-21,164,250,120,84,51,29,6.94824,45.272,4.8436,0.656,0.7317073170731707,0.5121951219512195,0.5686274509803921
2026-01-22,163,250,121,71,48,26,6.96132,44.824,4.8724,0.652,0.7423312883435583,0.43558282208588955,0.5416666666666666
2026-01-23,161,250,118,75,45,27,6.97904,45.704,4.818,0.644,0.7329192546583851,0.4658385093167702,0.6
2026-01-24,162,250,113,72,46,31,7.31156,47.704,4.802,0.648,0.6975308641975309,0.4444444444444444,0.6739130434782609
2026-01-25,161,250,128,75,38,24,7.35004,47.996,4.9132,0.644,0.7950310559006211,0.4658385093167702,0.631578947368421
2026-01-26,174,250,130,83,53,25,7.00196,45.16,4.8692,0.696,0.7471264367816092,0.47701149425287354,0.4716981132075472
2026-01-27,159,250,118,81,59,28,7.0506400000000005,46.292,4.836,0.636,0.7421383647798742,0.5094339622641509,0.4745762711864407
2026-01-28,167,250,131,64,36,20,6.92316,44.988,4.816,0.668,0.7844311377245509,0.38323353293413176,0.5555555555555556
2026-01-29,175,250,131,81,51,20,6.94892,45.348,4.8544,0.7,0.7485714285714286,0.46285714285714286,0.39215686274509803
2026-01-30,159,250,120,67,42,26,6.952520000000001,45.812,4.6468,0.636,0.7547169811320755,0.42138364779874216,0.6190476190476191
2026-01-31,173,250,114,57,41,26,7.277519999999999,47.292,4.8016000000000005,0.692,0.6589595375722543,0.32947976878612717,0.6341463414634146
2026-02-01,163,250,111,69,47,21,7.23592,47.756,4.9624,0.652,0.6809815950920245,0.4233128834355828,0.44680851063829785
2026-02-02,160,250,110,66,47,27,6.97396,45.608,4.848,0.64,0.6875,0.4125,0.574468085106383
2026-02-03,173,250,119,76,47,29,6.962359999999999,45.644,5.0048,0.692,0.6878612716763006,0.4393063583815029,0.6170212765957447
2026-02-04,164,250,126,83,56,33,7.00028,46.176,4.9412,0.656,0.7682926829268293,0.5060975609756098,0.5892857142857143
2026-02-05,170,250,131,74,47,25,7.04836,46.752,4.8024,0.68,0.7705882352941177,0.43529411764705883,0.5319148936170213
2026-02-06,162,250,123,76,52,23,6.90808,46.42,4.7336,0.648,0.7592592592592593,0.4691358024691358,0.4423076923076923
2026-02-07,160,250,115,67,41,20,7.30704,47.112,4.8172,0.64,0.71875,0.41875,0.4878048780487805
2026-02-08,151,250,115,50,34,19,7.317,47.508,4.8648,0.604,0.7615894039735099,0.33112582781456956,0.5588235294117647
2026-02-09,161,250,117,70,44,26,7.04692,46.264,4.8244,0.644,0.7267080745341615,0.43478260869565216,0.5909090909090909
2026-02-10,163,250,119,72,45,24,6.98428,45.632,4.7824,0.652,0.7300613496932515,0.44171779141104295,0.5333333333333333
