user_id,date,bedtime_hour,wake_time_hour,sleep_duration_hours,time_in_bed_hours,sleep_latency_min,wake_episodes,caffeine_after_16,screen_time_before_bed_min,stress_level,exercise_minutes,sleep_efficiency,sleep_quality_score,felt_rested,app_opened,sleep_log_completed,insight_viewed,coach_message_sent,plan_completed
U0001,2026-01-01,24.03,8.4,7.94,8.37,25.9,0,0,87.8,1.9,52.3,0.948,65,0,0,0,0,0,0
U0001,2026-01-02,23.22,7.68,8.02,8.46,26.4,0,0,72.4,2.2,59.1,0.948,74,0,1,1,1,1,1
U0001,2026-01-03,24.08,8.62,8.12,8.54,25.3,0,0,111.6,2.0,18.2,0.951,63,1,0,0,0,0,0
U0001,2026-01-04,23.57,6.81,6.45,7.24,40.3,1,0,85.6,4.0,5.5,0.891,49,0,1,1,1,1,1
U0001,2026-01-05,23.49,7.54,7.03,8.05,44.5,2,1,98.1,1.3,12.0,0.873,37,0,1,1,1,1,1
U0001,2026-01-06,23.18,6.4,6.6,7.22,27.6,1,0,97.0,3.8,43.6,0.915,50,0,1,0,0,0,0
U0001,2026-01-07,23.23,7.25,7.45,8.03,34.7,0,0,70.0,4.2,16.0,0.928,53,0,0,0,0,0,0
U0001,2026-01-08,23.28,7.77,8.1,8.49,18.2,1,0,145.2,2.4,39.3,0.954,57,1,1,1,0,0,0
U0001,2026-01-09,22.6,7.44,8.47,8.84,15.8,1,0,82.9,2.6,7.1,0.958,62,0,1,1,1,1,1
U0001,2026-01-10,22.86,7.74,8.53,8.89,21.3,0,0,87.9,2.9,56.0,0.96,70,0,1,1,0,0,0
U0001,2026-01-11,24.66,8.14,6.92,7.48,33.4,0,0,87.3,6.1,18.2,0.926,42,0,0,0,0,0,0
U0001,2026-01-12,24.13,8.03,7.16,7.9,35.9,1,0,122.7,5.3,37.9,0.907,50,0,1,1,0,0,0
U0001,2026-01-13,22.92,7.29,7.74,8.37,28.5,2,0,54.3,2.9,27.0,0.925,55,0,1,1,0,0,0
U0001,2026-01-14,22.68,6.83,7.78,8.15,22.2,0,0,113.4,1.4,17.1,0.955,54,0,1,0,1,0,0
U0001,2026-01-15,23.46,7.4,7.32,7.94,25.0,4,0,54.6,2.8,39.5,0.921,54,0,0,0,0,0,0
U0001,2026-01-16,22.93,8.35,9.05,9.41,17.2,1,0,59.5,1.0,31.4,0.961,58,0,1,1,0,0,0
U0001,2026-01-17,24.59,8.07,7.08,7.48,24.3,0,0,90.3,3.6,69.2,0.946,56,1,1,1,1,1,1
U0001,2026-01-18,25.72,9.51,7.01,7.79,47.1,0,1,91.6,3.1,20.2,0.899,50,0,0,0,0,0,0
U0001,2026-01-19,23.44,6.84,6.96,7.4,26.4,0,0,109.3,3.8,12.5,0.94,60,0,1,1,1,1,1
U0001,2026-01-20,23.23,7.97,8.1,8.73,28.7,1,0,128.9,3.6,69.2,0.928,67,1,1,0,0,0,0
U0001,2026-01-21,23.96,8.27,7.87,8.31,19.4,2,0,79.9,4.3,28.7,0.946,65,1,0,0,0,0,0
U0001,2026-01-22,23.76,6.6,6.39,6.84,22.9,1,0,147.2,3.0,11.2,0.935,45,0,1,1,0,0,0
U0001,2026-01-23,23.09,8.07,8.53,8.99,27.6,0,0,23.6,3.2,42.9,0.949,71,0,1,1,0,0,0
U0001,2026-01-24,24.06,9.16,8.36,9.1,35.0,1,0,92.5,3.5,40.1,0.919,60,0,1,0,0,0,0
U0001,2026-01-25,23.47,7.83,7.92,8.36,26.1,0,0,97.3,4.3,45.7,0.948,49,0,1,0,0,0,0
U0001,2026-01-26,23.67,8.44,8.07,8.77,24.2,2,0,62.7,1.2,0.0,0.92,58,0,1,0,1,0,0
U0001,2026-01-27,22.32,5.46,6.38,7.14,37.7,1,1,129.9,3.9,29.3,0.893,37,0,1,0,1,1,1
U0001,2026-01-28,23.09,6.8,7.51,7.71,12.4,0,0,64.6,3.0,61.7,0.973,70,0,1,1,1,0,0
U0001,2026-01-29,22.82,7.51,7.86,8.68,30.7,2,1,59.3,1.0,53.2,0.906,48,0,1,1,0,0,0
U0001,2026-01-30,24.56,8.68,7.59,8.12,31.9,0,0,167.6,3.7,32.0,0.934,55,0,1,1,1,1,1
U0001,2026-01-31,23.61,7.94,7.77,8.34,22.6,2,0,128.6,2.5,28.8,0.931,51,0,1,1,0,0,0
U0001,2026-02-01,23.95,8.21,7.64,8.26,32.9,1,0,74.2,3.9,33.5,0.925,61,0,1,0,0,0,0
U0001,2026-02-02,21.78,6.05,7.58,8.27,25.6,2,0,57.7,5.0,52.6,0.917,52,0,1,1,0,0,0
U0001,2026-02-03,22.88,7.06,7.67,8.18,25.1,1,0,159.5,4.1,20.9,0.938,60,0,1,1,1,1,0
U0001,2026-02-04,24.04,6.41,6.23,6.36,8.2,0,0,81.2,3.8,3.3,0.979,50,0,1,0,1,1,0
U0001,2026-02-05,24.53,8.02,6.72,7.49,29.1,3,0,112.8,4.1,42.4,0.898,45,0,1,1,1,1,0
U0001,2026-02-06,23.56,7.5,7.13,7.94,21.4,3,0,98.8,3.9,38.4,0.899,31,0,0,0,0,0,0
U0001,2026-02-07,23.64,9.11,8.89,9.47,31.9,1,0,41.8,1.6,49.0,0.938,63,0,0,0,0,0,0
U0001,2026-02-08,24.49,7.73,6.76,7.24,21.2,2,0,77.5,3.5,0.0,0.934,48,0,0,0,0,0,0
U0001,2026-02-09,23.08,7.36,7.58,8.28,34.3,1,0,94.4,2.0,9.0,0.916,56,0,0,0,0,0,0
U0001,2026-02-10,24.82,8.0,6.5,7.19,32.2,1,0,166.7,5.0,13.9,0.905,36,0,1,1,0,0,0
U0001,2026-02-11,23.75,7.06,6.76,7.3,21.8,2,0,113.0,6.0,38.1,0.926,37,0,1,1,0,0,0
U0001,2026-02-12,22.92,5.68,6.13,6.76,29.1,1,0,108.0,4.8,28.2,0.906,41,0,1,1,1,1,1
U0001,2026-02-13,23.32,7.34,7.29,8.01,35.0,2,0,112.5,3.6,82.3,0.91,55,1,1,0,0,0,0
U0001,2026-02-14,22.77,7.69,8.6,8.92,15.8,1,0,63.3,2.8,53.7,0.963,63,1,1,1,1,1,1
U0001,2026-02-15,23.47,7.03,7.25,7.56,13.5,1,0,94.4,3.1,48.7,0.959,39,0,1,1,1,0,0
U0001,2026-02-16,23.72,8.09,8.0,8.38,19.3,1,0,84.3,1.5,12.3,0.955,47,0,1,1,0,0,0
U0001,2026-02-17,23.7,7.54,7.42,7.84,19.1,1,0,140.9,1.0,36.6,0.947,63,0,1,0,1,0,0
